"seg.id","dist2rd","elev","ndvi","dt","id","date","lunar"
1,66.1611099243164,99.1186764885569,0.822676756386042,NA,"tm10",2015-01-25 14:28:00,0.325836245671555
1,61.1599998474121,98.2895312625599,0.795745729229799,NA,"tm10",2015-01-25 14:28:00,0.325836245671555
1,90.870002746582,101.471564239732,0.828338700615937,480,"tm10",2015-01-25 14:28:00,0.325836245671555
2,90.870002746582,101.471564239732,0.828338700615937,NA,"tm10",2015-01-25 14:36:00,0.325836245671555
2,88.1233367919922,100.288989178627,0.817381276461353,480,"tm10",2015-01-25 14:36:00,0.325836245671555
3,88.1233367919922,100.288989178627,0.817381276461353,NA,"tm10",2015-01-25 14:44:00,0.325836245671555
3,117.916664123535,104.232551456477,0.828544292166642,540,"tm10",2015-01-25 14:44:00,0.325836245671555
4,117.916664123535,104.232551456477,0.828544292166642,NA,"tm10",2015-01-25 14:53:00,0.325836245671555
4,115.488891601562,101.128105825483,0.825495587848421,NA,"tm10",2015-01-25 14:53:00,0.325836245671555
4,145.36555480957,103.594481452762,0.822609592647117,600,"tm10",2015-01-25 14:53:00,0.325836245671555
5,145.36555480957,103.594481452762,0.822609592647117,NA,"tm10",2015-01-25 15:03:00,0.325836245671555
5,143.684448242188,102.69086965582,0.823851094261457,NA,"tm10",2015-01-25 15:03:00,0.325836245671555
5,173.627777099609,104.47868246288,0.835344966079942,480,"tm10",2015-01-25 15:03:00,0.325836245671555
6,173.627777099609,104.47868246288,0.835344966079942,NA,"tm10",2015-01-25 15:11:00,0.325836245671555
6,203.578887939453,105.368791359665,0.850682014638631,540,"tm10",2015-01-25 15:11:00,0.325836245671555
7,203.578887939453,105.368791359665,0.850682014638631,300,"tm10",2015-01-25 15:20:00,0.325836245671555
8,203.578887939453,105.368791359665,0.850682014638631,NA,"tm10",2015-01-25 15:25:00,0.325836245671555
8,233.521118164062,106,0.855697880479058,300,"tm10",2015-01-25 15:25:00,0.325836245671555
9,233.521118164062,106,0.855697880479058,NA,"tm10",2015-01-25 15:30:00,0.325836245671555
9,263.452209472656,106,0.855937343802268,240,"tm10",2015-01-25 15:30:00,0.325836245671555
10,263.452209472656,106,0.855937343802268,NA,"tm10",2015-01-25 15:34:00,0.325836245671555
10,264.947784423828,106.07582218492,0.856914052552084,300,"tm10",2015-01-25 15:34:00,0.325836245671555
11,264.947784423828,106.07582218492,0.856914052552084,NA,"tm10",2015-01-25 15:39:00,0.325836245671555
11,263.452209472656,106,0.855937343802268,540,"tm10",2015-01-25 15:39:00,0.325836245671555
12,263.452209472656,106,0.855937343802268,1260,"tm10",2015-01-25 15:48:00,0.325836245671555
13,263.452209472656,106,0.855937343802268,NA,"tm10",2015-01-25 16:09:00,0.325836245671555
13,264.947784423828,106.07582218492,0.856914052552084,NA,"tm10",2015-01-25 16:09:00,0.325836245671555
13,258.268890380859,108.430633444348,0.849079948167815,1560,"tm10",2015-01-25 16:09:00,0.325836245671555
14,258.268890380859,108.430633444348,0.849079948167815,NA,"tm10",2015-01-25 16:35:00,0.325836245671555
14,240.343338012695,110.336687014155,0.842843026982446,NA,"tm10",2015-01-25 16:35:00,0.325836245671555
14,223.574447631836,110.112592396812,0.837544047259992,NA,"tm10",2015-01-25 16:35:00,0.325836245671555
14,208.586669921875,109.144106726284,0.834291745592182,1260,"tm10",2015-01-25 16:35:00,0.325836245671555
15,208.586669921875,109.144106726284,0.834291745592182,NA,"tm10",2015-01-25 16:56:00,0.325836245671555
15,235.054443359375,110.088986153968,0.832515922654481,300,"tm10",2015-01-25 16:56:00,0.325836245671555
16,235.054443359375,110.088986153968,0.832515922654481,780,"tm10",2015-01-25 17:01:00,0.325836245671555
17,235.054443359375,110.088986153968,0.832515922654481,NA,"tm10",2015-01-25 17:14:00,0.325836245671555
17,222.419998168945,110.128882824828,0.842240942422914,840,"tm10",2015-01-25 17:14:00,0.325836245671555
18,222.419998168945,110.128882824828,0.842240942422914,NA,"tm10",2015-01-25 17:28:00,0.325836245671555
18,194.917770385742,109.139772252074,0.84043568264393,300,"tm10",2015-01-25 17:28:00,0.325836245671555
19,194.917770385742,109.139772252074,0.84043568264393,NA,"tm10",2015-01-25 17:33:00,0.325836245671555
19,184.143325805664,109.134247748429,0.844803157477519,NA,"tm10",2015-01-25 17:33:00,0.325836245671555
19,155.713333129883,106.873366373107,0.840385096960573,300,"tm10",2015-01-25 17:33:00,0.325836245671555
20,155.713333129883,106.873366373107,0.840385096960573,NA,"tm10",2015-01-25 17:38:00,0.325836245671555
20,147.89111328125,105.941358897478,0.839354692974885,300,"tm10",2015-01-25 17:38:00,0.325836245671555
21,147.89111328125,105.941358897478,0.839354692974885,NA,"tm10",2015-01-25 17:43:00,0.325836245671555
21,118.554443359375,103.608731492838,0.837444469619595,NA,"tm10",2015-01-25 17:43:00,0.325836245671555
21,113.268890380859,104.356674950134,0.839277769500471,240,"tm10",2015-01-25 17:43:00,0.325836245671555
22,113.268890380859,104.356674950134,0.839277769500471,NA,"tm10",2015-01-25 17:47:00,0.325836245671555
22,83.6022186279297,102.191197516382,0.832789511014805,NA,"tm10",2015-01-25 17:47:00,0.325836245671555
22,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 17:47:00,0.325836245671555
23,54.0277786254883,97.9144577076842,0.789434587082219,NA,"tm10",2015-01-25 17:52:00,0.325836245671555
23,24.6322231292725,93.6711808173618,0.706141019779191,300,"tm10",2015-01-25 17:52:00,0.325836245671555
24,24.6322231292725,93.6711808173618,0.706141019779191,300,"tm10",2015-01-25 17:57:00,0.325836245671555
25,24.6322231292725,93.6711808173618,0.706141019779191,NA,"tm10",2015-01-25 18:02:00,0.325836245671555
25,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:02:00,0.325836245671555
26,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:07:00,0.325836245671555
27,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:12:00,0.325836245671555
28,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:17:00,0.325836245671555
29,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:22:00,0.325836245671555
30,54.0277786254883,97.9144577076842,0.789434587082219,240,"tm10",2015-01-25 18:27:00,0.325836245671555
31,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:31:00,0.325836245671555
32,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:36:00,0.325836245671555
33,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:41:00,0.325836245671555
34,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 18:46:00,0.325836245671555
35,54.0277786254883,97.9144577076842,0.789434587082219,NA,"tm10",2015-01-25 18:51:00,0.325836245671555
35,24.6322231292725,93.6711808173618,0.706141019779191,240,"tm10",2015-01-25 18:51:00,0.325836245671555
36,24.6322231292725,93.6711808173618,0.706141019779191,300,"tm10",2015-01-25 18:55:00,0.325836245671555
37,24.6322231292725,93.6711808173618,0.706141019779191,NA,"tm10",2015-01-25 19:00:00,0.325836245671555
37,54.0277786254883,97.9144577076842,0.789434587082219,300,"tm10",2015-01-25 19:00:00,0.325836245671555
38,54.0277786254883,97.9144577076842,0.789434587082219,NA,"tm10",2015-01-25 19:05:00,0.325836245671555
38,83.6022186279297,102.191197516382,0.832789511014805,NA,"tm10",2015-01-25 19:05:00,0.325836245671555
38,89.5322189331055,102.358992356851,0.82599745396837,300,"tm10",2015-01-25 19:05:00,0.325836245671555
39,89.5322189331055,102.358992356851,0.82599745396837,NA,"tm10",2015-01-25 19:10:00,0.325836245671555
39,100.954444885254,103.654607161152,0.828351548380185,300,"tm10",2015-01-25 19:10:00,0.325836245671555
40,100.954444885254,103.654607161152,0.828351548380185,NA,"tm10",2015-01-25 19:15:00,0.325836245671555
40,115.566665649414,104.771389042875,0.838093904500079,NA,"tm10",2015-01-25 19:15:00,0.325836245671555
40,90.4477767944336,103.662360165397,0.837384214962181,NA,"tm10",2015-01-25 19:15:00,0.325836245671555
40,108.592224121094,104.760510096395,0.845477851155201,NA,"tm10",2015-01-25 19:15:00,0.325836245671555
40,87.2577743530273,101.983934541757,0.845003075725948,540,"tm10",2015-01-25 19:15:00,0.325836245671555
41,87.2577743530273,101.983934541757,0.845003075725948,NA,"tm10",2015-01-25 19:24:00,0.325836245671555
41,108.592224121094,104.760510096395,0.845477851155201,NA,"tm10",2015-01-25 19:24:00,0.325836245671555
41,90.4477767944336,103.662360165397,0.837384214962181,300,"tm10",2015-01-25 19:24:00,0.325836245671555
42,90.4477767944336,103.662360165397,0.837384214962181,300,"tm10",2015-01-25 19:29:00,0.325836245671555
43,90.4477767944336,103.662360165397,0.837384214962181,300,"tm10",2015-01-25 19:34:00,0.325836245671555
44,90.4477767944336,103.662360165397,0.837384214962181,300,"tm10",2015-01-25 19:39:00,0.325836245671555
45,90.4477767944336,103.662360165397,0.837384214962181,NA,"tm10",2015-01-25 19:44:00,0.325836245671555
45,66.4577789306641,100.676965682965,0.82462859846887,NA,"tm10",2015-01-25 19:44:00,0.325836245671555
45,87.2577743530273,101.983934541757,0.845003075725948,NA,"tm10",2015-01-25 19:44:00,0.325836245671555
45,110.830001831055,103.64373946508,0.843685702473549,300,"tm10",2015-01-25 19:44:00,0.325836245671555
46,110.830001831055,103.64373946508,0.843685702473549,NA,"tm10",2015-01-25 19:49:00,0.325836245671555
46,87.2577743530273,101.983934541757,0.845003075725948,NA,"tm10",2015-01-25 19:49:00,0.325836245671555
46,66.4577789306641,100.676965682965,0.82462859846887,NA,"tm10",2015-01-25 19:49:00,0.325836245671555
46,90.4477767944336,103.662360165397,0.837384214962181,240,"tm10",2015-01-25 19:49:00,0.325836245671555
47,90.4477767944336,103.662360165397,0.837384214962181,NA,"tm10",2015-01-25 19:53:00,0.325836245671555
47,66.4577789306641,100.676965682965,0.82462859846887,NA,"tm10",2015-01-25 19:53:00,0.325836245671555
47,87.2577743530273,101.983934541757,0.845003075725948,300,"tm10",2015-01-25 19:53:00,0.325836245671555
48,87.2577743530273,101.983934541757,0.845003075725948,300,"tm10",2015-01-25 19:58:00,0.325836245671555
49,87.2577743530273,101.983934541757,0.845003075725948,NA,"tm10",2015-01-25 20:03:00,0.325836245671555
49,110.830001831055,103.64373946508,0.843685702473549,NA,"tm10",2015-01-25 20:03:00,0.325836245671555
49,91.2611083984375,101.081815928729,0.83538391129291,300,"tm10",2015-01-25 20:03:00,0.325836245671555
50,91.2611083984375,101.081815928729,0.83538391129291,NA,"tm10",2015-01-25 20:08:00,0.325836245671555
50,66.1611099243164,99.1186764885569,0.822676756386042,NA,"tm10",2015-01-25 20:08:00,0.325836245671555
50,36.945556640625,98.1488656299204,0.777826066406556,360,"tm10",2015-01-25 20:08:00,0.325836245671555
51,36.945556640625,98.1488656299204,0.777826066406556,NA,"tm10",2015-01-25 20:14:00,0.325836245671555
51,31.5955562591553,97.197791710108,0.698008802269306,NA,"tm10",2015-01-25 20:14:00,0.325836245671555
51,4.94999980926514,96.3603982073219,0.59805521985378,360,"tm10",2015-01-25 20:14:00,0.325836245671555
52,4.94999980926514,96.3603982073219,0.59805521985378,NA,"tm10",2015-01-25 20:20:00,0.325836245671555
52,8.82888889312744,97.9291844380618,0.665100861297539,780,"tm10",2015-01-25 20:20:00,0.325836245671555
53,8.82888889312744,97.9291844380618,0.665100861297539,NA,"tm10",2015-01-25 20:33:00,0.325836245671555
53,36.945556640625,98.1488656299204,0.777826066406556,NA,"tm10",2015-01-25 20:33:00,0.325836245671555
53,39.2544441223145,97.3430229485472,0.800904507748064,NA,"tm10",2015-01-25 20:33:00,0.325836245671555
53,16.5666675567627,96.6387294056826,0.728103395065267,900,"tm10",2015-01-25 20:33:00,0.325836245671555
54,16.5666675567627,96.6387294056826,0.728103395065267,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,29.2755546569824,96.4272394376551,0.77770233854617,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,5.62222242355347,94.0346716915827,0.640392696998865,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,1.65666663646698,92.738286498954,0.615941436580456,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,12.8000001907349,92.8478648370605,0.747438328324902,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,22.1422214508057,94.4535303671113,0.829390724799048,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,1.72222220897675,92.8083605039905,0.72252414039116,NA,"tm10",2015-01-25 20:48:00,0.325836245671555
54,1.49555552005768,95.74777663043,0.716751440058408,300,"tm10",2015-01-25 20:48:00,0.325836245671555
55,1.49555552005768,95.74777663043,0.716751440058408,300,"tm10",2015-01-25 20:53:00,0.325836245671555
56,1.49555552005768,95.74777663043,0.716751440058408,480,"tm10",2015-01-25 20:58:00,0.325836245671555
57,1.49555552005768,95.74777663043,0.716751440058408,1140,"tm10",2015-01-25 21:06:00,0.325836245671555
58,1.49555552005768,95.74777663043,0.716751440058408,600,"tm10",2015-01-25 21:25:00,0.325836245671555
59,1.49555552005768,95.74777663043,0.716751440058408,300,"tm10",2015-01-25 21:35:00,0.325836245671555
60,1.49555552005768,95.74777663043,0.716751440058408,300,"tm10",2015-01-25 21:40:00,0.325836245671555
61,1.49555552005768,95.74777663043,0.716751440058408,480,"tm10",2015-01-25 21:45:00,0.325836245671555
62,1.49555552005768,95.74777663043,0.716751440058408,1260,"tm10",2015-01-25 21:53:00,0.325836245671555
63,1.49555552005768,95.74777663043,0.716751440058408,300,"tm10",2015-01-25 22:14:00,0.325836245671555
64,1.49555552005768,95.74777663043,0.716751440058408,240,"tm10",2015-01-25 22:19:00,0.325836245671555
65,1.49555552005768,95.74777663043,0.716751440058408,360,"tm10",2015-01-25 22:23:00,0.325836245671555
66,1.49555552005768,95.74777663043,0.716751440058408,480,"tm10",2015-01-25 22:29:00,0.325836245671555
67,1.49555552005768,95.74777663043,0.716751440058408,300,"tm10",2015-01-25 22:37:00,0.325836245671555
